f,mag
-2.480382775118750000e+10,7.981135616223566931e-01
-2.459968102071875000e+10,7.907967034885862168e-01
-2.439553429028125000e+10,7.841676517090441223e-01
-2.419138755981250000e+10,7.776233390105904419e-01
-2.398724082934375000e+10,7.706867873827115689e-01
-2.378309409887500000e+10,7.622853166840748429e-01
-2.357894736840625000e+10,7.516410881141502021e-01
-2.337480063796875000e+10,7.375337935463323058e-01
-2.317065390750000000e+10,7.190554152224738482e-01
-2.296650717703125000e+10,6.949084091461350532e-01
-2.276236044656250000e+10,6.640949905450419521e-01
-2.255821371609375000e+10,6.255049848319739203e-01
-2.235406698565625000e+10,5.787507290955528072e-01
-2.214992025518750000e+10,5.245002669410724350e-01
-2.194577352471875000e+10,4.656942356745585876e-01
-2.174162679425000000e+10,4.086687737167228884e-01
-2.153748006378125000e+10,3.631125303900524792e-01
-2.133333333334375000e+10,3.394813466501404031e-01
-2.112918660287500000e+10,3.414548425725539849e-01
-2.092503987240625000e+10,3.631998715120836607e-01
-2.072089314193750000e+10,3.943648118124891133e-01
-2.051674641146875000e+10,4.273954831688152600e-01
-2.031259968103125000e+10,4.588812401523386653e-01
-2.010845295056250000e+10,4.888188261975750515e-01
-1.990430622009375000e+10,5.192563176241516976e-01
-1.970015948962500000e+10,5.527659032390175309e-01
-1.949601275915625000e+10,5.912322943265747588e-01
-1.929186602871875000e+10,6.343271648151356246e-01
-1.908771929825000000e+10,6.798374646768619023e-01
-1.888357256778125000e+10,7.242570532014912521e-01
-1.867942583731250000e+10,7.647871044297427368e-01
-1.847527910684375000e+10,7.995474212268230962e-01
-1.827113237640625000e+10,8.282673054782226929e-01
-1.806698564593750000e+10,8.511439514254715011e-01
-1.786283891546875000e+10,8.691534974337784547e-01
-1.765869218500000000e+10,8.829419333926059599e-01
-1.745454545453125000e+10,8.934915402977601229e-01
-1.725039872409375000e+10,9.012182969381822284e-01
-1.704625199362500000e+10,9.068200271839820248e-01
-1.684210526315625000e+10,9.104304152202778999e-01
-1.663795853268750000e+10,9.124939681822675785e-01
-1.643381180221875000e+10,9.129317732995215762e-01
