t_samples_puf2,z_samples_puf2
9.84375e-11,5.989856923062305e-05
1.9843750000000002e-10,3.436467376378029e-05
2.9843750000000004e-10,9.963904507079486e-06
3.984375e-10,3.1764365071871296e-05
4.984375e-10,0.00011175276680520672
5.984375e-10,6.880366244572832e-05
6.984375e-10,2.6633498544542353e-05
7.984375e-10,3.405275022853099e-05
8.984375000000001e-10,1.4543355924158088e-05
9.984375e-10,4.37260143308872e-05
1.0984375e-09,9.729010581107213e-05
1.1984375e-09,3.5474667652342754e-05
1.2984375000000001e-09,7.361262904225809e-05
1.3984375e-09,7.777568410718471e-05
1.4984375e-09,3.440404271160076e-05
1.5984375000000001e-09,4.341878491983112e-05
1.6984375e-09,1.6227190510286334e-05
1.7984375e-09,3.2717253752489356e-05
1.8984375e-09,0.00010900787095876506
1.9984375e-09,6.752505595561177e-05
2.0984375e-09,4.606453441994674e-05
2.1984375e-09,1.76068676996193e-05
2.2984375000000002e-09,3.3759418904648145e-05
2.3984375000000003e-09,1.4261668330840658e-05
2.4984375e-09,3.194846299563558e-05
2.5984375e-09,1.6128559534061196e-05
2.6984375e-09,4.306024555964688e-05
2.7984375e-09,9.960202423892991e-05
2.8984375000000002e-09,3.04938541781297e-05
2.9984375000000003e-09,1.4235832620435831e-05
3.0984375e-09,2.7408149163997864e-05
3.1984375e-09,0.00010752578326760029
