t_x,x_t_bb_real
0.0,0.014142135623730952
1.5625e-12,0.014142135623730952
3.125e-12,0.014142135623730952
4.6875e-12,0.014142135623730952
6.25e-12,0.014142135623730952
7.8125e-12,0.014142135623730952
9.375e-12,0.014142135623730952
1.0937500000000001e-11,0.014142135623730952
1.25e-11,0.014142135623730952
1.40625e-11,0.014142135623730952
1.5625e-11,0.014142135623730952
1.7187500000000002e-11,0.014142135623730952
1.875e-11,0.014142135623730952
2.03125e-11,0.014142135623730952
2.1875000000000002e-11,0.014142135623730952
2.34375e-11,0.014142135623730952
2.5e-11,0.014142135623730952
2.6562500000000002e-11,0.014142135623730952
2.8125e-11,0.014142135623730952
2.96875e-11,0.014142135623730952
3.125e-11,0.014142135623730952
3.28125e-11,0.014142135623730952
3.4375000000000004e-11,0.014142135623730952
3.59375e-11,0.014142135623730952
3.75e-11,0.014142135623730952
3.90625e-11,0.014142135623730952
4.0625e-11,0.014142135623730952
4.21875e-11,0.014142135623730952
4.3750000000000004e-11,0.014142135623730952
4.53125e-11,0.014142135623730952
4.6875e-11,0.014142135623730952
4.84375e-11,0.014142135623730952
5e-11,0.014142135623730952
5.15625e-11,0.014142135623730952
5.3125000000000004e-11,0.014142135623730952
5.4687500000000005e-11,0.014142135623730952
5.625e-11,0.014142135623730952
5.78125e-11,0.014142135623730952
5.9375e-11,0.014142135623730952
6.09375e-11,0.014142135623730952
6.25e-11,0.014142135623730952
6.40625e-11,0.014142135623730952
6.5625e-11,0.014142135623730952
6.718750000000001e-11,0.014142135623730952
6.875000000000001e-11,0.014142135623730952
7.03125e-11,0.014142135623730952
7.1875e-11,0.014142135623730952
7.34375e-11,0.014142135623730952
7.5e-11,0.014142135623730952
7.65625e-11,0.014142135623730952
7.8125e-11,0.014142135623730952
7.96875e-11,0.014142135623730952
8.125e-11,0.014142135623730952
8.28125e-11,0.014142135623730952
8.4375e-11,0.014142135623730952
8.593750000000001e-11,0.014142135623730952
8.750000000000001e-11,0.014142135623730952
8.906250000000001e-11,0.014142135623730952
9.0625e-11,0.014142135623730952
9.21875e-11,0.014142135623730952
9.375e-11,0.014142135623730952
9.53125e-11,0.014142135623730952
9.6875e-11,0.014142135623730952
9.84375e-11,0.014142135623730952
1e-10,-0.014142135623730952
1.015625e-10,-0.014142135623730952
1.03125e-10,-0.014142135623730952
1.0468750000000001e-10,-0.014142135623730952
1.0625000000000001e-10,-0.014142135623730952
1.0781250000000001e-10,-0.014142135623730952
1.0937500000000001e-10,-0.014142135623730952
1.109375e-10,-0.014142135623730952
1.125e-10,-0.014142135623730952
1.140625e-10,-0.014142135623730952
1.15625e-10,-0.014142135623730952
1.1718750000000002e-10,-0.014142135623730952
1.1875e-10,-0.014142135623730952
1.203125e-10,-0.014142135623730952
1.21875e-10,-0.014142135623730952
1.234375e-10,-0.014142135623730952
1.25e-10,-0.014142135623730952
1.265625e-10,-0.014142135623730952
1.28125e-10,-0.014142135623730952
1.296875e-10,-0.014142135623730952
1.3125e-10,-0.014142135623730952
1.328125e-10,-0.014142135623730952
1.3437500000000001e-10,-0.014142135623730952
1.359375e-10,-0.014142135623730952
1.3750000000000002e-10,-0.014142135623730952
1.390625e-10,-0.014142135623730952
1.40625e-10,-0.014142135623730952
1.421875e-10,-0.014142135623730952
1.4375e-10,-0.014142135623730952
1.453125e-10,-0.014142135623730952
1.46875e-10,-0.014142135623730952
1.484375e-10,-0.014142135623730952
1.5e-10,-0.014142135623730952
1.5156250000000001e-10,-0.014142135623730952
1.53125e-10,-0.014142135623730952
1.5468750000000002e-10,-0.014142135623730952
1.5625e-10,-0.014142135623730952
1.5781250000000002e-10,-0.014142135623730952
1.59375e-10,-0.014142135623730952
1.609375e-10,-0.014142135623730952
1.625e-10,-0.014142135623730952
1.640625e-10,-0.014142135623730952
1.65625e-10,-0.014142135623730952
1.671875e-10,-0.014142135623730952
1.6875e-10,-0.014142135623730952
1.703125e-10,-0.014142135623730952
1.7187500000000001e-10,-0.014142135623730952
1.734375e-10,-0.014142135623730952
1.7500000000000002e-10,-0.014142135623730952
1.765625e-10,-0.014142135623730952
1.7812500000000002e-10,-0.014142135623730952
1.796875e-10,-0.014142135623730952
1.8125e-10,-0.014142135623730952
1.828125e-10,-0.014142135623730952
1.84375e-10,-0.014142135623730952
1.859375e-10,-0.014142135623730952
1.875e-10,-0.014142135623730952
1.890625e-10,-0.014142135623730952
1.90625e-10,-0.014142135623730952
1.9218750000000001e-10,-0.014142135623730952
1.9375e-10,-0.014142135623730952
1.9531250000000002e-10,-0.014142135623730952
1.96875e-10,-0.014142135623730952
1.9843750000000002e-10,-0.014142135623730952
2e-10,-0.014142135623730952
2.015625e-10,-0.014142135623730952
2.03125e-10,-0.014142135623730952
2.046875e-10,-0.014142135623730952
2.0625e-10,-0.014142135623730952
2.078125e-10,-0.014142135623730952
2.0937500000000001e-10,-0.014142135623730952
2.109375e-10,-0.014142135623730952
2.1250000000000002e-10,-0.014142135623730952
2.140625e-10,-0.014142135623730952
2.1562500000000002e-10,-0.014142135623730952
2.171875e-10,-0.014142135623730952
2.1875000000000002e-10,-0.014142135623730952
2.203125e-10,-0.014142135623730952
2.21875e-10,-0.014142135623730952
2.234375e-10,-0.014142135623730952
2.25e-10,-0.014142135623730952
2.265625e-10,-0.014142135623730952
2.28125e-10,-0.014142135623730952
2.2968750000000001e-10,-0.014142135623730952
2.3125e-10,-0.014142135623730952
2.3281250000000002e-10,-0.014142135623730952
2.3437500000000003e-10,-0.014142135623730952
2.359375e-10,-0.014142135623730952
2.375e-10,-0.014142135623730952
2.390625e-10,-0.014142135623730952
2.40625e-10,-0.014142135623730952
2.421875e-10,-0.014142135623730952
2.4375e-10,-0.014142135623730952
2.453125e-10,-0.014142135623730952
2.46875e-10,-0.014142135623730952
2.484375e-10,-0.014142135623730952
2.5e-10,-0.014142135623730952
2.5156250000000003e-10,-0.014142135623730952
2.53125e-10,-0.014142135623730952
2.546875e-10,-0.014142135623730952
2.5625e-10,-0.014142135623730952
2.5781250000000003e-10,-0.014142135623730952
2.59375e-10,-0.014142135623730952
2.609375e-10,-0.014142135623730952
2.625e-10,-0.014142135623730952
2.640625e-10,-0.014142135623730952
2.65625e-10,-0.014142135623730952
2.671875e-10,-0.014142135623730952
2.6875000000000003e-10,-0.014142135623730952
2.703125e-10,-0.014142135623730952
2.71875e-10,-0.014142135623730952
2.734375e-10,-0.014142135623730952
2.7500000000000003e-10,-0.014142135623730952
2.765625e-10,-0.014142135623730952
2.78125e-10,-0.014142135623730952
2.796875e-10,-0.014142135623730952
2.8125e-10,-0.014142135623730952
2.828125e-10,-0.014142135623730952
2.84375e-10,-0.014142135623730952
2.8593750000000003e-10,-0.014142135623730952
2.875e-10,-0.014142135623730952
2.890625e-10,-0.014142135623730952
2.90625e-10,-0.014142135623730952
2.9218750000000003e-10,-0.014142135623730952
2.9375e-10,-0.014142135623730952
2.953125e-10,-0.014142135623730952
2.96875e-10,-0.014142135623730952
2.9843750000000004e-10,-0.014142135623730952
3e-10,0.014142135623730952
3.015625e-10,0.014142135623730952
3.0312500000000003e-10,0.014142135623730952
3.046875e-10,0.014142135623730952
3.0625e-10,0.014142135623730952
3.078125e-10,0.014142135623730952
3.0937500000000003e-10,0.014142135623730952
3.109375e-10,0.014142135623730952
3.125e-10,0.014142135623730952
3.140625e-10,0.014142135623730952
3.1562500000000003e-10,0.014142135623730952
3.171875e-10,0.014142135623730952
3.1875e-10,0.014142135623730952
3.203125e-10,0.014142135623730952
3.21875e-10,0.014142135623730952
