x,y,value
-24.8038277511875,-24.8038277511875,0.49749675072110044
-24.8038277511875,-23.98724082934375,0.45940129856657225
-24.8038277511875,-23.1706539075,0.35815214784257077
-24.8038277511875,-22.35406698565625,0.21580223803314982
-24.8038277511875,-21.53748006378125,0.11144100756348471
-24.8038277511875,-20.7208931419375,0.10176991312284663
-24.8038277511875,-19.90430622009375,0.10284180110510316
-24.8038277511875,-19.08771929825,0.09604498683251741
-24.8038277511875,-18.27113237640625,0.08093851889580243
-24.8038277511875,-17.45454545453125,0.08646742313219655
-24.8038277511875,-16.6379585326875,0.08911510043131482
-24.8038277511875,-15.82137161084375,0.06185346738045199
-24.8038277511875,-15.004784689,0.025013463609711125
-24.8038277511875,-14.18819776715625,0.028741685160161252
-24.8038277511875,-13.37161084528125,0.008228823538341853
-24.8038277511875,-12.5550239234375,0.030513366364396548
-24.8038277511875,-11.73843700159375,0.050403349619749106
-24.8038277511875,-10.92185007975,0.04013471645892258
-24.8038277511875,-10.10526315790625,0.01295022085272413
-24.8038277511875,-9.28867623603125,0.03764819487310123
-24.8038277511875,-8.4720893141875,0.04505056857787396
-24.8038277511875,-7.65550239234375,0.06512126698425666
-24.8038277511875,-6.8389154705,0.07394819064855941
-24.8038277511875,-6.02232854865625,0.07537724324749598
-24.8038277511875,-5.20574162678125,0.04208947242314043
-24.8038277511875,-4.3891547049375,0.05704074898387613
-24.8038277511875,-3.57256778309375,0.08742980093944513
-24.8038277511875,-2.75598086125,0.08687626194848612
-24.8038277511875,-1.93939393940625,0.09201074555318504
-24.8038277511875,-1.12280701753125,0.07723734167546321
-24.8038277511875,-0.3062200956875,0.04725113727926553
-24.8038277511875,0.51036682615625,0.03452699519601547
-24.8038277511875,1.326953748,0.03394274710714556
-24.8038277511875,2.14354066984375,0.03923678734389412
-24.8038277511875,2.96012759171875,0.031639592021770996
-24.8038277511875,3.7767145135625,0.015176739394933636
-24.8038277511875,4.59330143540625,0.0257237265535912
-24.8038277511875,5.40988835725,0.03976601221097498
-24.8038277511875,6.22647527909375,0.0456230519512265
-24.8038277511875,7.04306220096875,0.04182528323454304
-24.8038277511875,7.8596491228125,0.03213399654290332
-24.8038277511875,8.67623604465625,0.022691783591219816
-24.8038277511875,9.4928229665,0.01800309565356758
-24.8038277511875,10.30940988834375,0.022464944472976787
-24.8038277511875,11.12599681021875,0.03434038508277489
-24.8038277511875,11.9425837320625,0.0564484919117705
-24.8038277511875,12.75917065390625,0.05665470873566142
-24.8038277511875,13.57575757575,0.04326316171698274
-24.8038277511875,14.39234449759375,0.051017369142801285
-24.8038277511875,15.20893141946875,0.06002403461330461
-24.8038277511875,16.0255183413125,0.057692169944840443
-24.8038277511875,16.84210526315625,0.06412900828096921
-24.8038277511875,17.658692185,0.07938161053546368
-24.8038277511875,18.47527910684375,0.08560084419944983
-24.8038277511875,19.29186602871875,0.06308935357839741
-24.8038277511875,20.1084529505625,0.04217071325268365
-24.8038277511875,20.92503987240625,0.03166141950093547
-24.8038277511875,21.74162679425,0.0503764230179761
-24.8038277511875,22.55821371609375,0.0643183834034166
-24.8038277511875,23.37480063796875,0.06232831167850038
-24.8038277511875,24.1913875598125,0.059198322729271634
-23.98724082934375,-24.8038277511875,0.45940129856657225
-23.98724082934375,-23.98724082934375,0.5046458529003758
-23.98724082934375,-23.1706539075,0.45289238085408406
-23.98724082934375,-22.35406698565625,0.32248892059345885
-23.98724082934375,-21.53748006378125,0.1883824859862935
-23.98724082934375,-20.7208931419375,0.12081392260670984
-23.98724082934375,-19.90430622009375,0.10371604418605108
-23.98724082934375,-19.08771929825,0.09730249591055966
-23.98724082934375,-18.27113237640625,0.07923504215396818
-23.98724082934375,-17.45454545453125,0.07729341987990171
-23.98724082934375,-16.6379585326875,0.09224441067085494
-23.98724082934375,-15.82137161084375,0.08201834090460693
-23.98724082934375,-15.004784689,0.03877667705131126
-23.98724082934375,-14.18819776715625,0.028637180924767837
-23.98724082934375,-13.37161084528125,0.01217962045581813
-23.98724082934375,-12.5550239234375,0.03147229481213002
-23.98724082934375,-11.73843700159375,0.0544705380425971
-23.98724082934375,-10.92185007975,0.0558961983247014
-23.98724082934375,-10.10526315790625,0.0141839527563311
-23.98724082934375,-9.28867623603125,0.028812250343797828
-23.98724082934375,-8.4720893141875,0.04552592063921122
-23.98724082934375,-7.65550239234375,0.05262992027177052
-23.98724082934375,-6.8389154705,0.05536461607665125
-23.98724082934375,-6.02232854865625,0.06046781320274621
-23.98724082934375,-5.20574162678125,0.04519030858034577
-23.98724082934375,-4.3891547049375,0.05382435636194883
-23.98724082934375,-3.57256778309375,0.06931627913537675
-23.98724082934375,-2.75598086125,0.07303634057390379
-23.98724082934375,-1.93939393940625,0.08918612946691833
-23.98724082934375,-1.12280701753125,0.07564704551272235
-23.98724082934375,-0.3062200956875,0.0444827297455641
-23.98724082934375,0.51036682615625,0.03143587363887219
-23.98724082934375,1.326953748,0.03952594222765568
-23.98724082934375,2.14354066984375,0.049776876008529314
-23.98724082934375,2.96012759171875,0.03358510576201084
-23.98724082934375,3.7767145135625,0.007883909716341099
-23.98724082934375,4.59330143540625,0.037757065649457126
-23.98724082934375,5.40988835725,0.057732141335458544
-23.98724082934375,6.22647527909375,0.06984464132556674
-23.98724082934375,7.04306220096875,0.06114090559930306
-23.98724082934375,7.8596491228125,0.04270198378160195
-23.98724082934375,8.67623604465625,0.01632047290260684
-23.98724082934375,9.4928229665,0.012662809832994115
-23.98724082934375,10.30940988834375,0.027020115263699906
-23.98724082934375,11.12599681021875,0.03660549371641908
-23.98724082934375,11.9425837320625,0.06216388556365771
-23.98724082934375,12.75917065390625,0.058275484021259705
-23.98724082934375,13.57575757575,0.05049841634987657
-23.98724082934375,14.39234449759375,0.07091743004917046
-23.98724082934375,15.20893141946875,0.07807482539607147
-23.98724082934375,16.0255183413125,0.06757475093907211
-23.98724082934375,16.84210526315625,0.07288444261815756
-23.98724082934375,17.658692185,0.0880982489213932
-23.98724082934375,18.47527910684375,0.09717272889365905
-23.98724082934375,19.29186602871875,0.06919239746859172
-23.98724082934375,20.1084529505625,0.041274494430217676
-23.98724082934375,20.92503987240625,0.027613227697612208
-23.98724082934375,21.74162679425,0.05527684337214347
-23.98724082934375,22.55821371609375,0.07476119644120813
-23.98724082934375,23.37480063796875,0.07504633830864886
-23.98724082934375,24.1913875598125,0.06053905197847103
-23.1706539075,-24.8038277511875,0.35815214784257066
-23.1706539075,-23.98724082934375,0.4528923808540843
-23.1706539075,-23.1706539075,0.4809269669689654
-23.1706539075,-22.35406698565625,0.40602012552734024
-23.1706539075,-21.53748006378125,0.2789210653373124
-23.1706539075,-20.7208931419375,0.17439277801688483
-23.1706539075,-19.90430622009375,0.11528476462674755
-23.1706539075,-19.08771929825,0.10317695088073425
-23.1706539075,-18.27113237640625,0.08473019384787683
-23.1706539075,-17.45454545453125,0.06830150255021358
-23.1706539075,-16.6379585326875,0.07550529303258229
-23.1706539075,-15.82137161084375,0.08821182591868576
-23.1706539075,-15.004784689,0.06000855225047238
-23.1706539075,-14.18819776715625,0.030007279759296405
-23.1706539075,-13.37161084528125,0.007380828187102073
-23.1706539075,-12.5550239234375,0.026055656259336007
-23.1706539075,-11.73843700159375,0.04816457212030353
-23.1706539075,-10.92185007975,0.05470890486045364
-23.1706539075,-10.10526315790625,0.024302534882769043
-23.1706539075,-9.28867623603125,0.02123322614030222
-23.1706539075,-8.4720893141875,0.058775594202775824
-23.1706539075,-7.65550239234375,0.07554639286979631
-23.1706539075,-6.8389154705,0.07395359831378762
-23.1706539075,-6.02232854865625,0.07598885545971225
-23.1706539075,-5.20574162678125,0.05567672359796666
-23.1706539075,-4.3891547049375,0.03747113879891415
-23.1706539075,-3.57256778309375,0.03002458295103823
-23.1706539075,-2.75598086125,0.03391315397216182
-23.1706539075,-1.93939393940625,0.0559382444547326
-23.1706539075,-1.12280701753125,0.050136457043223503
-23.1706539075,-0.3062200956875,0.02837818630194344
-23.1706539075,0.51036682615625,0.02570523054078859
-23.1706539075,1.326953748,0.042457024576814155
-23.1706539075,2.14354066984375,0.05169989235489332
-23.1706539075,2.96012759171875,0.044741735672626064
-23.1706539075,3.7767145135625,0.022785085106570346
-23.1706539075,4.59330143540625,0.03187946934533794
-23.1706539075,5.40988835725,0.05371317209290186
-23.1706539075,6.22647527909375,0.07318726034744136
-23.1706539075,7.04306220096875,0.06430298349979457
-23.1706539075,7.8596491228125,0.04399502573189575
-23.1706539075,8.67623604465625,0.014036927179024671
-23.1706539075,9.4928229665,0.013644271744752625
-23.1706539075,10.30940988834375,0.018808255979081832
-23.1706539075,11.12599681021875,0.017008568551513756
-23.1706539075,11.9425837320625,0.046620972358053035
-23.1706539075,12.75917065390625,0.04441589863186062
-23.1706539075,13.57575757575,0.05688732262130413
-23.1706539075,14.39234449759375,0.08186196072596694
-23.1706539075,15.20893141946875,0.09059061740002958
-23.1706539075,16.0255183413125,0.0827433292149852
-23.1706539075,16.84210526315625,0.0874865041672013
-23.1706539075,17.658692185,0.09238119456780548
-23.1706539075,18.47527910684375,0.09759282982972167
-23.1706539075,19.29186602871875,0.06284724970168333
-23.1706539075,20.1084529505625,0.02858569798278276
-23.1706539075,20.92503987240625,0.022395821585851905
-23.1706539075,21.74162679425,0.05230101967513991
-23.1706539075,22.55821371609375,0.06743858569731753
-23.1706539075,23.37480063796875,0.07547152376633354
-23.1706539075,24.1913875598125,0.0647943533218729
-22.35406698565625,-24.8038277511875,0.21580223803314982
-22.35406698565625,-23.98724082934375,0.32248892059345885
-22.35406698565625,-23.1706539075,0.4060201255273404
-22.35406698565625,-22.35406698565625,0.4421185317649733
-22.35406698565625,-21.53748006378125,0.37344933916238904
-22.35406698565625,-20.7208931419375,0.26329631432852213
-22.35406698565625,-19.90430622009375,0.16312344667343073
-22.35406698565625,-19.08771929825,0.1179867531193032
-22.35406698565625,-18.27113237640625,0.10596316034839108
-22.35406698565625,-17.45454545453125,0.09798930816937361
-22.35406698565625,-16.6379585326875,0.07664472952902435
-22.35406698565625,-15.82137161084375,0.0833093856484997
-22.35406698565625,-15.004784689,0.08243309807645026
-22.35406698565625,-14.18819776715625,0.06150871987799454
-22.35406698565625,-13.37161084528125,0.03511782000745719
-22.35406698565625,-12.5550239234375,0.011218676333846017
-22.35406698565625,-11.73843700159375,0.03641383367240925
-22.35406698565625,-10.92185007975,0.05396794728825878
-22.35406698565625,-10.10526315790625,0.04418983014759147
-22.35406698565625,-9.28867623603125,0.019987744382698007
-22.35406698565625,-8.4720893141875,0.05093045468530484
-22.35406698565625,-7.65550239234375,0.0825998408405934
-22.35406698565625,-6.8389154705,0.09445284071310679
-22.35406698565625,-6.02232854865625,0.0892939069003824
-22.35406698565625,-5.20574162678125,0.06024479125286387
-22.35406698565625,-4.3891547049375,0.015016695564217234
-22.35406698565625,-3.57256778309375,0.014725478239232467
-22.35406698565625,-2.75598086125,0.016658313722708915
-22.35406698565625,-1.93939393940625,0.009124956719596952
-22.35406698565625,-1.12280701753125,0.02650171455252008
-22.35406698565625,-0.3062200956875,0.017440109703102592
-22.35406698565625,0.51036682615625,0.008072492490668418
-22.35406698565625,1.326953748,0.040199720652458484
-22.35406698565625,2.14354066984375,0.057929555268713656
-22.35406698565625,2.96012759171875,0.0680341818406401
-22.35406698565625,3.7767145135625,0.05343856066019874
-22.35406698565625,4.59330143540625,0.024028642925266394
-22.35406698565625,5.40988835725,0.025471461268416654
-22.35406698565625,6.22647527909375,0.0527694962973221
-22.35406698565625,7.04306220096875,0.05862188119936032
-22.35406698565625,7.8596491228125,0.05035215679562305
-22.35406698565625,8.67623604465625,0.023914881141339793
-22.35406698565625,9.4928229665,0.014993803823099389
-22.35406698565625,10.30940988834375,0.03322321868901952
-22.35406698565625,11.12599681021875,0.025562635855450173
-22.35406698565625,11.9425837320625,0.019612139405258272
-22.35406698565625,12.75917065390625,0.028278604413110583
-22.35406698565625,13.57575757575,0.057994635940394064
-22.35406698565625,14.39234449759375,0.07640625760792912
-22.35406698565625,15.20893141946875,0.08027425930118276
-22.35406698565625,16.0255183413125,0.07549611808755961
-22.35406698565625,16.84210526315625,0.08507925552552692
-22.35406698565625,17.658692185,0.08696223518808979
-22.35406698565625,18.47527910684375,0.080121059251622
-22.35406698565625,19.29186602871875,0.038403918097708746
-22.35406698565625,20.1084529505625,0.0428776540256118
-22.35406698565625,20.92503987240625,0.08537004448229808
-22.35406698565625,21.74162679425,0.10121619707692932
-22.35406698565625,22.55821371609375,0.09380096592749554
-22.35406698565625,23.37480063796875,0.09449313662282156
-22.35406698565625,24.1913875598125,0.09016995584120292
-21.53748006378125,-24.8038277511875,0.11144100756348467
-21.53748006378125,-23.98724082934375,0.1883824859862935
-21.53748006378125,-23.1706539075,0.2789210653373124
-21.53748006378125,-22.35406698565625,0.373449339162389
-21.53748006378125,-21.53748006378125,0.43019395642409053
-21.53748006378125,-20.7208931419375,0.37309407998475835
-21.53748006378125,-19.90430622009375,0.2606332207278298
-21.53748006378125,-19.08771929825,0.17152520052490883
-21.53748006378125,-18.27113237640625,0.11390227960786611
-21.53748006378125,-17.45454545453125,0.11438124572204204
-21.53748006378125,-16.6379585326875,0.0981864015424838
-21.53748006378125,-15.82137161084375,0.07165247341912843
-21.53748006378125,-15.004784689,0.0663653105665471
-21.53748006378125,-14.18819776715625,0.07142497543260508
-21.53748006378125,-13.37161084528125,0.056528407234169485
-21.53748006378125,-12.5550239234375,0.034790121979550025
-21.53748006378125,-11.73843700159375,0.040664718367706465
