f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap
1.998616386667e+14,2.470210267716e+00,1.204491043145e-09,4.382344260482e-02,1.034719257317e+07,5.045360283277e-03,9.999999976771e-01
1.984737106204e+14,2.458087519730e+00,1.272100479753e-09,4.596188989681e-02,1.022491005762e+07,5.291558126112e-03,9.999000236473e-01
1.970857825741e+14,2.445719179471e+00,1.345384128884e-09,4.826975213043e-02,1.010231836842e+07,5.557260584902e-03,9.998903856876e-01
1.956978545278e+14,2.433096972672e+00,1.424991499032e-09,5.076586731561e-02,9.979405000458e+06,5.844636465692e-03,9.998805590233e-01
1.943099264815e+14,2.420212110170e+00,1.511667939139e-09,5.347180717465e-02,9.856156314460e+06,6.156169304790e-03,9.998705740744e-01
1.929219984352e+14,2.407055226473e+00,1.606272192061e-09,5.641237254423e-02,9.732557363537e+06,6.494714404039e-03,9.998604694022e-01
1.915340703889e+14,2.393616307143e+00,1.709797831656e-09,5.961619757924e-02,9.608591685486e+06,6.863568392348e-03,9.998502934162e-01
1.901461423426e+14,2.379884602166e+00,1.823399600818e-09,6.311649110326e-02,9.484241051946e+06,7.266554576823e-03,9.998401065021e-01
1.887582142963e+14,2.365848521886e+00,1.948425978241e-09,6.695195206326e-02,9.359485163679e+06,7.708128338386e-03,9.998299836545e-01
1.873702862500e+14,2.351495511080e+00,2.086459721452e-09,7.116790767980e-02,9.234301278199e+06,8.193508166154e-03,9.998200177541e-01

f_vg,vg
1.991676746435e+14,7.131525769256e+07
1.977797465972e+14,7.113540212528e+07
1.963918185509e+14,7.094923239176e+07
1.950038905046e+14,7.075620350240e+07
1.936159624583e+14,7.055568872374e+07
1.922280344120e+14,7.034696413563e+07
1.908401063657e+14,7.012918921023e+07
1.894521783194e+14,6.990138284480e+07
1.880642502731e+14,6.966239364161e+07

f_D,D
1.984737106204e+14,3.356401933858e-03
1.970857825741e+14,3.443487594119e-03
1.956978545278e+14,3.539114084906e-03
1.943099264815e+14,3.644619122634e-03
1.929219984352e+14,3.761595277810e-03
1.915340703889e+14,3.891957753674e-03
1.901461423426e+14,4.038021741909e-03
1.887582142963e+14,4.202601260906e-03

