f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap
1.998616386667e+14,2.501538170712e+00,1.198705474899e-09,4.361294413794e-02,1.047841858638e+07,5.021125751680e-03,9.999999977802e-01
1.984737106204e+14,2.489881744485e+00,1.266200838014e-09,4.574873166887e-02,1.035716453833e+07,5.267017378207e-03,9.999878070128e-01
1.970857825741e+14,2.477987825244e+00,1.339394025921e-09,4.805483894758e-02,1.023560764205e+07,5.532517790347e-03,9.999804725613e-01
1.956978545278e+14,2.465848086801e+00,1.418942025846e-09,5.055035251901e-02,1.011373447264e+07,5.819824407793e-03,9.999730206505e-01
1.943099264815e+14,2.453453650590e+00,1.505599518172e-09,5.325715061722e-02,9.991530324505e+06,6.131456055327e-03,9.999654833575e-01
1.929219984352e+14,2.440795017687e+00,1.600236903323e-09,5.620041285370e-02,9.868979016772e+06,6.470311642853e-03,9.999579008258e-01
1.915340703889e+14,2.427861988482e+00,1.703862344961e-09,5.940924261593e-02,9.746062661098e+06,6.839741821675e-03,9.999503229603e-01
1.901461423426e+14,2.414643566967e+00,1.817648888392e-09,6.291743172565e-02,9.622761382129e+06,7.243637019047e-03,9.999428115440e-01
1.887582142963e+14,2.401127845898e+00,1.942968038218e-09,6.676440593992e-02,9.499052979041e+06,7.686536292993e-03,9.999354428655e-01
1.873702862500e+14,2.387301868070e+00,2.081431619566e-09,7.099640209685e-02,9.374912513289e+06,8.173762856221e-03,9.999283109960e-01

f_vg,vg
1.991676746435e+14,7.192014822023e+07
1.977797465972e+14,7.174096554368e+07
1.963918185509e+14,7.155479052851e+07
1.950038905046e+14,7.136099094013e+07
1.936159624583e+14,7.115884170661e+07
1.922280344120e+14,7.094750784050e+07
1.908401063657e+14,7.072602312671e+07
1.894521783194e+14,7.049326391926e+07
1.880642502731e+14,7.024791678621e+07

f_D,D
1.984737106204e+14,3.287733085946e-03
1.970857825741e+14,3.385621495473e-03
1.956978545278e+14,3.493314910858e-03
1.943099264815e+14,3.612307200664e-03
1.929219984352e+14,3.744371512879e-03
1.915340703889e+14,3.891632271667e-03
1.901461423426e+14,4.056648651385e-03
1.887582142963e+14,4.242520837058e-03

